accountsservice 0.6.55-3
acpi 1.7-3
acpid 2.0.33-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.5.1-1
android-tools 31.0.3-1
android-udev 20210501-1
appimagetool-bin 13-0
aria2 1.36.0-1
atomicparsley 20210715.151551.e7ad03a-1
audacious 4.1-3
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
b43-fwcutter 019-3
bash-completion 2.11-2
bat 0.18.3-1
bison 3.8.2-1
blueman 2.2.3-1
brave-browser 1.32.113-1
btop 1.1.2-1
btrfs-progs 5.15.1-1
bzip2 1.0.8-4
catfish 4.16.3-1
coreutils 9.0-2
cpupower 5.15-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.2-1
dbus-x11 1.12.20-1
device-mapper 2.03.14-2
dhclient 4.4.2.P1-2
dhcpcd 9.4.0-1
diffutils 3.8-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dosfstools 4.2-1
dotnet-sdk 6.0.0.sdk100-2
e2fsprogs 1.46.4-1
ecryptfs-utils 111-5
efibootmgr 17-2
engrampa 1.26.0-1
exfat-utils 1.3.0-2
exo 4.16.2-1
f2fs-tools 1.14.0-3
fakeroot 1.26-1
ffmpeg 2:4.4.1-1
ffmpegthumbnailer 2.2.2-2
file 5.41-1
filesystem 2021.05.31-1
findutils 4.8.0-1
flex 2.6.4-3
freetype2 2.11.1-1
garcon 4.16.1-1
gawk 5.1.1-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcolor3 2.4.0-3
gdb 11.1-2
gettext 0.21-1
ghidra 10.0.4-1
gitkraken 8.1.1-1
glade 3.38.2-1
glibc 2.33-5
gn 0.1938.0153d369-1
gnome-icon-theme 3.12.0-6
gnome-keyring 1:40.0-1.1
gnome-themes-extra 3.28-2
gparted 1.3.1-1
grep 3.7-1
grub 2.06-1
grub-btrfs 4.10.2-1
grub-theme-manjaro 20.2-12
gst-libav 1.18.5-1
gst-plugins-bad 1.18.5-3
gst-plugins-base 1.18.5-1
gst-plugins-good 1.18.5-2
gst-plugins-ugly 1.18.5-2
gtkhash-thunar 1.4-4
gufw 21.04.0-1
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.11-1
haveged 1.9.15-1
inetutils 2.2-1
intel-ucode 20210608-1
inxi 3.3.09.1-2
iproute2 5.15.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
iran-nastaliq-fonts 20150704-3
jfsutils 1.1.15-7
kitty 0.23.1-1
less 1:590-1
lib32-libva-intel-driver 2.4.1-1
